PARADA;PARTIDA;BG_COLOR;TXT_COLOR;LINHA;DESTINO;CARRO
06;14:00;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2070
03;14:03;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
02;14:05;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02541
01;14:15;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2047
06;14:18;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
07;14:22;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
01;14:26;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2085
05;14:28;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2032
04;14:30;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2040
02;14:30;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02542
06;14:34;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2071
03;14:45;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
04;14:51;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2043
02;14:55;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02543
03;14:56;#806000;#FFFFFF;L003/10;VILA RICA;P 2036
01;15:02;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2083
07;15:02;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
08;15:03;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
06;15:08;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2072
04;15:10;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2037
08;15:12;#000000;#FFFFFF;L29P/10;TERMINAL PINHEIROS;A 1990
01;15:15;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2303
08;15:20;#7030A0;#FFFFFF;0L05/10;VIAMOBILIDADE (CAPÃO REDONDO);48-02545
06;15:20;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
02;15:20;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02544
07;15:22;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2314
01;15:28;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2045
06;15:42;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2073
07;15:42;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
03;15:44;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
01;15:44;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2084
02;15:45;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2300
04;15:50;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2038
05;15:50;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2033
01;16:00;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2046
07;16:02;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
03;16:06;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
06;16:06;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2074
04;16:07;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2044
08;16:08;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
02;16:10;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2301
05;16:11;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2310
04;16:14;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2039
01;16:16;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2085
08;16:17;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2047
03;16:20;#806000;#FFFFFF;L003/10;VILA RICA;P 2034
07;16:22;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
06;16:30;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2075
01;16:32;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2083
05;16:33;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2307
02;16:35;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2302
08;16:38;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2030
04;16:38;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2040
01;16:40;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02540
03;16:42;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
07;16:42;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2314
